trade_id,market_id,market_title,signal_time,entry_price,model_p,direction,size_usd,size_factor,edge_pp,ensemble_spread,confidence_score,resolution_date,metric,threshold,threshold_high,weather_direction,lat,lon,location_tz,actual_outcome,resolved_at,pnl_usd,brier_score,cumulative_pnl,cumulative_brier,raw_p,model_breakdown_json
b1b8018d,2106449,Precipitation in London in May? - Will London have between 15-20mm of precipitation in May?,2026-05-06T13:47:58.059681+00:00,0.86,0.04331517736684911,NO,25.0,,0.0967,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,15.0,20.0,range,51.50853,-0.12574,auto,0,2026-06-03T18:20:45.919867+00:00,4.0698,0.0019,329.9715,1.6281,,
18f77509,2106450,Precipitation in London in May? - Will London have between 20-25mm of precipitation in May?,2026-05-06T13:47:58.990661+00:00,0.815,0.08584154824496147,NO,25.0,,0.0992,0.03026923076923077,0.849,2026-05-31T00:00:00+00:00,precipitation_sum,20.0,25.0,range,51.50853,-0.12574,auto,0,2026-06-03T18:20:45.919867+00:00,5.6748,0.0074,335.6463,1.6355,,
8167069a,2106966,Precipitation in Hong Kong in May? - Will Hong Kong have between 220-230mm of precipitation in May?,2026-05-06T13:48:00.648636+00:00,0.775,0.006349306054613507,NO,25.0,,0.2187,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,220.0,230.0,range,22.27832,114.17469,auto,0,2026-06-03T18:20:45.919867+00:00,7.2581,0.0,342.9044,1.6355,,
da201f9d,2106425,Precipitation in NYC in May? - Will NYC have less than 2 inches of precipitation in May?,2026-05-06T13:48:01.791291+00:00,0.655,0.21369397879673976,NO,25.0,,0.1313,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,50.8,,below,40.71427,-74.00597,auto,1,2026-06-03T18:20:45.919867+00:00,-25.0,0.6183,317.9044,2.2538,,
1870fe9a,2106443,Precipitation in Seattle in May? - Will Seattle have between 2 and 2.5 inches of precipitation in May?,2026-05-06T13:48:07.043937+00:00,0.725,0.05985581001662529,NO,25.0,,0.2151,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,50.8,63.5,range,47.60621,-122.33207,auto,0,2026-06-03T18:20:45.919867+00:00,9.4828,0.0036,327.3872,2.2574,,
d4426c72,2106444,Precipitation in Seattle in May? - Will Seattle have between 2.5 and 3 inches of precipitation in May?,2026-05-06T13:48:08.027400+00:00,0.755,0.03802411717132907,NO,25.0,,0.207,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,63.5,76.19999999999999,range,47.60621,-122.33207,auto,0,2026-06-03T18:20:45.919867+00:00,8.1126,0.0014,335.4998,2.2588,,
0f8b6a5d,2106429,Precipitation in NYC in May? - Will NYC have between 5 and 6 inches of precipitation in May?,2026-05-07T07:00:16.220353+00:00,0.635,0.12813875875499697,NO,25.0,,0.2369,0.003333333333333341,0.983,2026-05-31T00:00:00+00:00,precipitation_sum,127.0,152.39999999999998,range,40.71427,-74.00597,,0,2026-05-31T12:16:43.645777+00:00,15.875,0.0164,351.3748,2.2752,,
4ac3b042,2106430,Precipitation in NYC in May? - Will NYC have more than 6 inches of precipitation in May?,2026-05-07T07:00:16.958108+00:00,0.615,0.060907443157548424,NO,25.0,,0.3241,0.0028333333333333335,0.986,2026-05-31T00:00:00+00:00,precipitation_sum,152.39999999999998,,above,40.71427,-74.00597,,0,2026-05-31T12:16:43.645777+00:00,15.375,0.0037,366.7498,2.2789,,
0ddca8c4,2106452,Precipitation in London in May? - Will London have 30mm or more of precipitation in May?,2026-05-07T09:00:18.504253+00:00,0.315,0.7360840967958445,YES,25.0,,0.4211,0.020000000000000018,0.9,2026-05-31T00:00:00+00:00,precipitation_sum,30.0,,above,51.50853,-0.12574,,0,2026-05-31T12:16:43.645777+00:00,-7.875,0.5418,358.8748,2.8207,,
3707ab3c,2106962,Precipitation in Hong Kong in May? - Will Hong Kong have between 180-190mm of precipitation in May?,2026-05-07T09:00:20.223988+00:00,0.8,0.03262782927953725,NO,25.0,,0.1674,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,180.0,190.0,range,22.27832,114.17469,,0,2026-05-31T12:16:43.645777+00:00,20.0,0.0011,378.8748,2.8218,,
eb2df105,2106963,Precipitation in Hong Kong in May? - Will Hong Kong have between 190-200mm of precipitation in May?,2026-05-07T09:00:21.303530+00:00,0.69,0.02480903853697217,NO,25.0,,0.2852,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,190.0,200.0,range,22.27832,114.17469,,0,2026-05-31T12:16:43.645777+00:00,17.25,0.0006,396.1248,2.8224,,
56187318,2106439,Precipitation in Seattle in May? - Will Seattle have less than 0.5 inches of precipitation in May?,2026-05-07T09:00:31.324505+00:00,0.635,0.19497873252435804,NO,25.0,,0.17,0.0,1.0,2026-05-31T00:00:00+00:00,precipitation_sum,12.7,,below,47.60621,-122.33207,,1,2026-05-31T12:16:43.645777+00:00,-9.125,0.6481,386.9998,3.4705,,
c258a525,2171163,Highest temperature in Seoul on May 8? - Will the highest temperature in Seoul be 20°C on May 8?,2026-05-08T07:00:18.661637+00:00,0.040000000000000036,0.5217391304347826,NO,25.0,,0.4383,0.010256410256410275,0.949,2026-05-08T12:00:00+00:00,temperature_2m_max,20.0,,equal,37.566,126.9784,,1,2026-05-08T12:01:20.542604+00:00,-24.0,0.2287,362.9998,3.6992,,
cf7581e3,2171164,Highest temperature in Seoul on May 8? - Will the highest temperature in Seoul be 21°C on May 8?,2026-05-08T07:00:22.143756+00:00,0.0305,0.17391304347826086,YES,25.0,,0.1434,0.1995,0.002,2026-05-08T12:00:00+00:00,temperature_2m_max,21.0,,equal,37.566,126.9784,,0,2026-05-08T12:01:20.542604+00:00,-0.7625,0.0302,362.2373,3.7294,,
591121d5,2171319,Highest temperature in Hong Kong on May 8? - Will the highest temperature in Hong Kong be 30°C on May 8?,2026-05-08T07:00:44.604015+00:00,0.047,0.4782608695652174,YES,25.0,,0.4313,0.19615384615384612,0.019,2026-05-08T12:00:00+00:00,temperature_2m_max,30.0,,equal,22.27832,114.17469,,0,2026-05-08T12:01:20.542604+00:00,-1.175,0.2287,361.0623,3.9581,,
46f1a546,2171323,Highest temperature in Shanghai on May 8? - Will the highest temperature in Shanghai be 19°C on May 8?,2026-05-08T07:00:46.707641+00:00,0.04600000000000004,0.057971014492753624,NO,25.0,,0.896,0.021794871794871797,0.891,2026-05-08T12:00:00+00:00,temperature_2m_max,19.0,,equal,31.22222,121.45806,,1,2026-05-08T12:01:20.542604+00:00,-23.85,0.8874,337.2123,4.8455,,
c99032ca,2171324,Highest temperature in Shanghai on May 8? - Will the highest temperature in Shanghai be 20°C on May 8?,2026-05-08T07:00:47.768611+00:00,0.0395,0.36231884057971014,YES,25.0,,0.3228,0.14358974358974358,0.282,2026-05-08T12:00:00+00:00,temperature_2m_max,20.0,,equal,31.22222,121.45806,,0,2026-05-08T12:01:20.542604+00:00,-0.9875,0.1313,336.2248,4.9768,,
154c82c4,2171087,Lowest temperature in Hong Kong on May 8? - Will the lowest temperature in Hong Kong be 24°C on May 8?,2026-05-08T07:01:08.198833+00:00,0.08499999999999996,0.34782608695652173,NO,25.0,,0.5672,0.16025641025641027,0.199,2026-05-08T12:00:00+00:00,temperature_2m_min,24.0,,equal,22.27832,114.17469,,0,2026-05-08T12:01:20.542604+00:00,2.125,0.121,338.3498,5.0978,,
83078e63,2171075,Lowest temperature in Tokyo on May 8? - Will the lowest temperature in Tokyo be 18°C on May 8?,2026-05-08T07:01:18.679414+00:00,0.0615,0.21739130434782608,NO,25.0,,0.7211,0.19180769230769232,0.041,2026-05-08T12:00:00+00:00,temperature_2m_min,18.0,,equal,35.6895,139.69171,,0,2026-05-08T12:01:20.542604+00:00,1.5375,0.0473,339.8873,5.1451,,
49069556,2171040,Lowest temperature in NYC on May 8? - Will the lowest temperature in New York City be between 48-49°F on May 8?,2026-05-08T07:01:22.920987+00:00,0.5449999999999999,0.07229718770166854,NO,25.0,,0.3827,0.06616666666666667,0.669,2026-05-08T12:00:00+00:00,temperature_2m_min,8.88888888888889,9.444444444444445,range,40.71427,-74.00597,,0,2026-05-08T12:01:20.542604+00:00,13.625,0.0052,353.5123,5.1503,,
08fcca2a,2171038,Lowest temperature in NYC on May 8? - Will the lowest temperature in New York City be between 46-47°F on May 8?,2026-05-08T07:01:24.101729+00:00,0.8045,0.04579010938752964,NO,25.0,,0.1497,0.0,1.0,2026-05-08T12:00:00+00:00,temperature_2m_min,7.777777777777778,8.333333333333334,range,40.71427,-74.00597,,0,2026-05-08T12:01:20.542604+00:00,20.1125,0.0021,373.6248,5.1524,,
a064b565,2171041,Lowest temperature in NYC on May 8? - Will the lowest temperature in New York City be between 50-51°F on May 8?,2026-05-08T07:01:24.665720+00:00,0.74,0.08921973831984796,NO,25.0,,0.1708,0.08283333333333333,0.586,2026-05-08T12:00:00+00:00,temperature_2m_min,10.0,10.555555555555555,range,40.71427,-74.00597,,0,2026-05-08T12:01:20.542604+00:00,18.5,0.008,392.1248,5.1604,,
f7645568,2179284,Highest temperature in Shanghai on May 9? - Will the highest temperature in Shanghai be 23°C on May 9?,2026-05-09T07:16:47.939932+00:00,0.034499999999999975,0.6376811594202898,NO,25.0,,0.3278,0.033333333333333326,0.833,2026-05-09T12:00:00+00:00,temperature_2m_max,23.0,,equal,31.22222,121.45806,,1,2026-05-09T12:02:38.466249+00:00,-24.1375,0.1313,367.9873,5.2917,,
fbf4c3f5,2179047,Lowest temperature in Hong Kong on May 9? - Will the lowest temperature in Hong Kong be 22°C on May 9?,2026-05-09T09:00:53.834514+00:00,0.13,0.21739130434782608,YES,25.0,,0.0874,0.13333333333333333,0.333,2026-05-09T12:00:00+00:00,temperature_2m_min,22.0,,equal,22.27832,114.17469,,1,2026-05-09T12:02:38.466249+00:00,21.75,0.6125,389.7373,5.9042,,
db7563dc,2179048,Lowest temperature in Hong Kong on May 9? - Will the lowest temperature in Hong Kong be 23°C on May 9?,2026-05-09T09:00:54.883368+00:00,0.135,0.7391304347826086,NO,25.0,,0.1259,0.11282051282051281,0.436,2026-05-09T12:00:00+00:00,temperature_2m_min,23.0,,equal,22.27832,114.17469,,1,2026-05-09T12:02:38.466249+00:00,-21.625,0.0681,368.1123,5.9723,,
44cf46ae,2186507,Lowest temperature in NYC on May 10? - Will the lowest temperature in New York City be between 50-51°F on May 10?,2026-05-10T09:00:49.993069+00:00,0.28500000000000003,0.08869931343283963,NO,25.0,,0.6263,0.03796153846153846,0.81,2026-05-10T12:00:00+00:00,temperature_2m_min,10.0,10.555555555555555,range,40.71427,-74.00597,,1,2026-05-10T12:00:07.036428+00:00,-17.875,0.8305,350.2373,6.8028,,
ea51ec77,2206100,Highest temperature in Hong Kong on May 11? - Will the highest temperature in Hong Kong be 29°C on May 11?,2026-05-11T07:00:41.416859+00:00,0.165,0.43478260869565216,YES,25.0,,0.2698,0.14871794871794872,0.256,2026-05-11T12:00:00+00:00,temperature_2m_max,29.0,,equal,22.27832,114.17469,,0,2026-05-11T12:06:49.646619+00:00,-4.125,0.189,346.1123,6.9918,,
1a26f923,2205843,Lowest temperature in Miami on May 11? - Will the lowest temperature in Miami be between 78-79°F on May 11?,2026-05-11T07:00:55.764812+00:00,0.5900000000000001,0.05114548681883917,NO,25.0,,0.3589,0.0,1.0,2026-05-11T12:00:00+00:00,temperature_2m_min,25.555555555555557,26.11111111111111,range,25.77427,-80.19366,,0,2026-05-11T12:06:49.646619+00:00,14.75,0.0026,360.8623,6.9944,,
9b93121a,2205844,Lowest temperature in Miami on May 11? - Will the lowest temperature in Miami be between 80-81°F on May 11?,2026-05-11T07:01:00.279671+00:00,0.75,0.11703926332909309,NO,25.0,,0.133,0.03283333333333333,0.836,2026-05-11T12:00:00+00:00,temperature_2m_min,26.666666666666668,27.22222222222222,range,25.77427,-80.19366,,0,2026-05-11T12:06:49.646619+00:00,18.75,0.0137,379.6123,7.0081,,
3d952966,2219688,Highest temperature in Seoul on May 12? - Will the highest temperature in Seoul be 21°C on May 12?,2026-05-12T07:00:57.545589+00:00,0.06000000000000005,0.10144927536231885,NO,25.0,,0.8386,0.08924358974358974,0.554,2026-05-12T12:00:00+00:00,temperature_2m_max,21.0,,equal,37.566,126.9784,,0,2026-05-14T12:00:02.603626+00:00,1.5,0.0103,381.1123,7.0184,,
cc5b001c,2219566,Lowest temperature in NYC on May 12? - Will the lowest temperature in New York City be between 46-47°F on May 12?,2026-05-12T07:01:29.000474+00:00,0.6699999999999999,0.059310370856150194,NO,25.0,,0.2707,0.0,1.0,2026-05-12T12:00:00+00:00,temperature_2m_min,7.777777777777778,8.333333333333334,range,40.71427,-74.00597,,0,2026-05-14T12:00:02.603626+00:00,16.75,0.0035,397.8623,7.0219,,
6f0b65df,0xb228c6bf1b0da43057e442c440b5f089ec22e6f1fee81d725d96912152a38207,Highest temperature in Paris on May 21? - Will the highest temperature in Paris be 23°C on May 21?,2026-05-20T22:36:27.342731+00:00,0.815,0.043478260869565216,NO,25.0,,0.1415,0.0495,0.752,2026-05-21T12:00:00+00:00,temperature_2m_max,23.0,,equal,48.85341,2.3488,,0,2026-05-21T12:00:07.050960+00:00,20.375,0.0019,418.2373,7.0238,,
020bed4f,0x8f8b60a9887362f08f5178e87271ca85aa9b17a4a6d9133f2f9bbe4c46776fa2,Highest temperature in Paris on May 21? - Will the highest temperature in Paris be 25°C on May 21?,2026-05-20T22:36:28.614502+00:00,0.325,0.6376811594202898,YES,25.0,,0.3127,0.1217948717948718,0.391,2026-05-21T12:00:00+00:00,temperature_2m_max,25.0,,equal,48.85341,2.3488,,0,2026-05-21T12:00:07.050960+00:00,-8.125,0.4066,410.1123,7.4304,,
be4bec98,0xf1af3af1548c3ee63b2f94128171b50c1715762d7060cf7e36f9e9eb573cb34b,Highest temperature in Paris on May 22? - Will the highest temperature in Paris be 29°C on May 22?,2026-05-20T22:36:41.618181+00:00,0.5900000000000001,0.18840579710144928,NO,25.0,,0.2216,0.1576923076923077,0.212,2026-05-22T12:00:00+00:00,temperature_2m_max,29.0,,equal,48.85341,2.3488,,0,2026-05-22T12:00:07.885857+00:00,14.75,0.0355,424.8623,7.4659,,
22ae42d2,0x3936a8619e6a94cfc039b8250e56ce03f9924bc91b8c7242890b4938cd60ed9c,Highest temperature in Paris on May 22? - Will the highest temperature in Paris be 30°C on May 22?,2026-05-20T22:36:42.538821+00:00,0.875,0.043478260869565216,NO,25.0,,0.0815,0.0495,0.752,2026-05-22T12:00:00+00:00,temperature_2m_max,30.0,,equal,48.85341,2.3488,,0,2026-05-22T12:00:07.885857+00:00,21.875,0.0019,446.7373,7.4678,,
58d0c6a6,0xaf0e3121b1511f286f25193c203244cdb4f4767c8e2b1ab9cf4e801ea3e7d94f,Highest temperature in Hong Kong on May 21? - Will the highest temperature in Hong Kong be 28°C on May 21?,2026-05-20T22:37:03.527152+00:00,0.62,0.2318840579710145,NO,25.0,,0.1481,0.057692307692307696,0.712,2026-05-21T12:00:00+00:00,temperature_2m_max,28.0,,equal,22.27832,114.17469,,0,2026-05-21T12:00:07.050960+00:00,15.5,0.0538,462.2373,7.5216,,
722e88b0,0x2cc5a8e573c82a1047c50741effe60d3cdb11639a43b364bdc430c91a5caeaa3,Highest temperature in Hong Kong on May 21? - Will the highest temperature in Hong Kong be 29°C on May 21?,2026-05-20T22:37:04.318080+00:00,0.35,0.43478260869565216,YES,25.0,,0.0848,0.08974358974358973,0.551,2026-05-21T12:00:00+00:00,temperature_2m_max,29.0,,equal,22.27832,114.17469,,1,2026-05-21T12:00:07.050960+00:00,16.25,0.3195,478.4873,7.8411,,
3ff7e69b,0x775a07093875c8425ecbf99c65e6b43167a5b9aca9f138fc2e62e09b77660c39,Highest temperature in Hong Kong on May 21? - Will the highest temperature in Hong Kong be 30°C on May 21?,2026-05-20T22:37:04.912896+00:00,0.2,0.2898550724637681,YES,25.0,,0.0899,0.06794871794871793,0.66,2026-05-21T12:00:00+00:00,temperature_2m_max,30.0,,equal,22.27832,114.17469,,0,2026-05-21T12:00:07.050960+00:00,-5.0,0.084,473.4873,7.9251,,
f7a91151,0x33547b6a3e328e6618e60a1059ee7ead708da66a7f2b494c22f78cb3afae96cc,Highest temperature in Hong Kong on May 22? - Will the highest temperature in Hong Kong be 29°C on May 22?,2026-05-20T22:37:13.576736+00:00,0.815,0.043478260869565216,NO,25.0,,0.1415,0.008974358974358974,0.955,2026-05-22T12:00:00+00:00,temperature_2m_max,29.0,,equal,22.27832,114.17469,,0,2026-05-22T12:00:07.885857+00:00,20.375,0.0019,493.8623,7.927,,
c5ddae23,0x341d26279e2233320f6d0ea534f5938802f10ca94d1a1302d37f6b403b7cb383,Highest temperature in Hong Kong on May 22? - Will the highest temperature in Hong Kong be 31°C or higher on May 22?,2026-05-20T22:37:14.766899+00:00,0.51,0.23520321268872726,NO,25.0,,0.2548,0.09871794871794871,0.506,2026-05-22T12:00:00+00:00,temperature_2m_max,31.0,,above,22.27832,114.17469,,0,2026-05-22T12:00:07.885857+00:00,12.75,0.0553,506.6123,7.9823,,
9f6c572f,0x2f2793d08df19e3c46a5c8513609dcaa524d77d35b2db101a3549c7079581172,Highest temperature in Madrid on May 21? - Will the highest temperature in Madrid be 30°C on May 21?,2026-05-20T22:37:34.319231+00:00,0.048,0.2318840579710145,YES,25.0,,0.1839,0.11923076923076922,0.404,2026-05-21T12:00:00+00:00,temperature_2m_max,30.0,,equal,40.4165,-3.70256,,0,2026-05-21T12:00:07.050960+00:00,-1.2,0.0538,505.4123,8.0361,,
ba7370bd,0x1cc45e8738052370e4d10c6259e88f4921f3d49be0da851e7acccc8b917e5d46,Highest temperature in Madrid on May 21? - Will the highest temperature in Madrid be 32°C on May 21?,2026-05-20T22:37:35.581409+00:00,0.52,0.057971014492753624,NO,25.0,,0.422,0.05078205128205128,0.746,2026-05-21T12:00:00+00:00,temperature_2m_max,32.0,,equal,40.4165,-3.70256,,1,2026-05-21T12:00:07.050960+00:00,-12.0,0.8874,493.4123,8.9235,,
12d20517,0x3fe9f18f0400a7a627afe1945d4f5d61d26b9f49e2a7ed722c48bf6382636ec5,Highest temperature in Madrid on May 21? - Will the highest temperature in Madrid be 33°C on May 21?,2026-05-20T22:37:36.653374+00:00,0.79,0.001,NO,25.0,,0.209,0.0,1.0,2026-05-21T12:00:00+00:00,temperature_2m_max,33.0,,equal,40.4165,-3.70256,,0,2026-05-21T12:00:07.050960+00:00,19.75,0.0,513.1623,8.9235,,
8cb81740,0x6efc68372a1a120c12e58b9a3a55e2443414e5639769bc633d0711f972a95ed5,Highest temperature in Madrid on May 21? - Will the highest temperature in Madrid be 34°C on May 21?,2026-05-20T22:37:37.564235+00:00,0.915,0.001,NO,25.0,,0.084,0.0,1.0,2026-05-21T12:00:00+00:00,temperature_2m_max,34.0,,equal,40.4165,-3.70256,,0,2026-05-21T12:00:07.050960+00:00,22.875,0.0,536.0373,8.9235,,
f7c7d4a8,0x55cd03ed93e2886adc4ad180518c31ad615322a3f2c8531fb3805d6ebbab8323,Highest temperature in Madrid on May 22? - Will the highest temperature in Madrid be 31°C on May 22?,2026-05-20T22:37:42.222026+00:00,0.13,0.5072463768115942,YES,25.0,,0.3772,0.052564102564102544,0.737,2026-05-22T12:00:00+00:00,temperature_2m_max,31.0,,equal,40.4165,-3.70256,,0,2026-05-22T12:00:07.885857+00:00,-3.25,0.2573,532.7873,9.1808,,
6e93ad25,0x196d56691e15fef6bafceb79964511d5a395e697181496e1a73069680295ba1c,Highest temperature in Madrid on May 22? - Will the highest temperature in Madrid be 33°C on May 22?,2026-05-20T22:37:43.522316+00:00,0.55,0.001,NO,25.0,,0.449,0.0,1.0,2026-05-22T12:00:00+00:00,temperature_2m_max,33.0,,equal,40.4165,-3.70256,,0,2026-05-22T12:00:07.885857+00:00,13.75,0.0,546.5373,9.1808,,
31d74f11,0x123e1a5f60bf69c7cb34c0ae3e52bdb665ece83d588f8871802fb741c0bcab1a,Highest temperature in Madrid on May 22? - Will the highest temperature in Madrid be 34°C on May 22?,2026-05-20T22:37:44.218685+00:00,0.865,0.001,NO,25.0,,0.134,0.0,1.0,2026-05-22T12:00:00+00:00,temperature_2m_max,34.0,,equal,40.4165,-3.70256,,0,2026-05-22T12:00:07.885857+00:00,21.625,0.0,568.1623,9.1808,,
e292f113,0x22c92957ff25a6321cd101cde149264c480e8ac47e434437630eb59e7feabdc3,Highest temperature in Seoul on May 21? - Will the highest temperature in Seoul be 18°C on May 21?,2026-05-20T22:38:05.474365+00:00,0.0415,0.6811594202898551,YES,25.0,,0.6397,0.0461538461538461,0.769,2026-05-21T12:00:00+00:00,temperature_2m_max,18.0,,equal,37.566,126.9784,,0,2026-05-21T12:00:07.050960+00:00,-1.0375,0.464,567.1248,9.6448,,
2ff10597,0x102c4e0169f244a06d45873d12a7c56a7eb9332eb9aeda1360357ee7788751b5,Highest temperature in Seoul on May 21? - Will the highest temperature in Seoul be 20°C on May 21?,2026-05-20T22:38:08.465625+00:00,0.725,0.001,NO,25.0,,0.274,0.0,1.0,2026-05-21T12:00:00+00:00,temperature_2m_max,20.0,,equal,37.566,126.9784,,0,2026-05-21T12:00:07.050960+00:00,18.125,0.0,585.2498,9.6448,,
266f45ae,0x8a62c84cbbfdc5b61567821aaedb010e57e45046786a60c12cc93fa5f62c0e4a,Highest temperature in Seoul on May 21? - Will the highest temperature in Seoul be 21°C on May 21?,2026-05-20T22:38:09.134210+00:00,0.73,0.001,NO,25.0,,0.269,0.0,1.0,2026-05-21T12:00:00+00:00,temperature_2m_max,21.0,,equal,37.566,126.9784,,0,2026-05-21T12:00:07.050960+00:00,18.25,0.0,603.4998,9.6448,,
